Iteration,Epoch,val_loss,val_acc,loss,acc
0,0,0.9938101935386657,0.3631249988079071,0.8092840496699015,0.5343055555555556
0,1,0.8518353939056397,0.43749999642372134,0.647376741833157,0.63875
0,2,0.7510098552703858,0.5293749928474426,0.5879716854625278,0.7467361111111112
0,3,0.6610025286674499,0.6262500047683716,0.5175001298056708,0.7997916666666667
0,4,0.5194943594932556,0.7512499904632568,0.45160705632633635,0.8214583333333333
0,5,0.5320205593109131,0.7581250047683716,0.4084210987885793,0.8284027777777778
0,6,0.47894141197204587,0.790625,0.3978667285707262,0.8300694444444444
0,7,0.4454824876785278,0.8050000023841858,0.3922120891677009,0.8291666666666667
0,8,0.5061992979049683,0.8068750023841857,0.3888488497998979,0.8316666666666667
0,9,0.5591533350944519,0.7625000095367431,0.38472622248861527,0.8318055555555556
0,10,0.4323953104019165,0.8112499952316284,0.38040776120291814,0.8359722222222222
0,11,0.4622200155258179,0.8243749928474426,0.37038350582122803,0.8411805555555556
0,12,0.4350633716583252,0.8231249952316284,0.3660582881503635,0.8367361111111111
0,13,0.4565539264678955,0.8206249928474426,0.3673606770568424,0.8368055555555556
0,14,0.4369045114517212,0.8274999976158142,0.36146194458007813,0.8405555555555555
0,15,0.6098604726791382,0.7793749952316285,0.3573272977934943,0.8422222222222222
0,16,0.44926984548568727,0.8299999976158142,0.36074682765536836,0.843125
0,17,0.5118229532241821,0.8100000047683715,0.35590562409824794,0.8420138888888888
0,18,0.49572698831558226,0.8256249928474426,0.3490464883380466,0.8448611111111111
0,19,0.45027167797088624,0.8368749904632569,0.33129785855611166,0.8534027777777777
0,20,0.4179337453842163,0.8424999976158142,0.32827328377299836,0.8552777777777778
0,21,0.44509376645088194,0.8300000071525574,0.3247611459096273,0.8552083333333333
0,22,0.4203066289424896,0.820625,0.3156667979558309,0.86125
0,23,0.471553795337677,0.799375,0.3099650272395876,0.8683333333333333
0,24,0.4109908103942871,0.8237500095367432,0.30579998109075757,0.8649305555555555
0,25,0.4089377546310425,0.8268750023841858,0.2989434283309513,0.8685416666666667
0,26,0.4027147114276886,0.8362500071525574,0.2936660684479607,0.8707638888888889
0,27,0.393249077796936,0.8306250071525574,0.2785291956530677,0.8786805555555556
0,28,0.4360678243637085,0.8281249904632568,0.2788701180617015,0.8802083333333334
0,29,0.39549205780029295,0.8362500023841858,0.27523810439639623,0.8795833333333334
1,0,0.41788249492645263,0.8387499952316284,0.4001000332832336,0.8329861111111111
1,1,0.3980433106422424,0.8343750095367432,0.37570675002204046,0.841875
1,2,0.45603652119636534,0.82625,0.35177700241406756,0.8515277777777778
1,3,0.37563138365745546,0.8406249952316284,0.342775989373525,0.853125
1,4,0.39360186100006106,0.8374999928474426,0.3321086944474114,0.8565277777777778
1,5,0.4123845624923706,0.8300000047683715,0.3233335985077752,0.8625694444444445
1,6,0.3671783208847046,0.8356249904632569,0.32150074481964114,0.8615277777777778
1,7,0.36690462708473204,0.8406249904632568,0.3103896943728129,0.8651388888888889
1,8,0.3498013961315155,0.8543750023841858,0.3035273661878374,0.8680555555555556
1,9,0.3467436361312866,0.8487500023841857,0.30285617907842,0.8707638888888889
1,10,0.33187061071395874,0.8637500047683716,0.2909811637136671,0.8726388888888889
1,11,0.349076828956604,0.8531249952316284,0.28947260604964364,0.87625
1,12,0.3731582713127136,0.8406249904632568,0.28559515701399907,0.8758333333333334
1,13,0.3996199870109558,825,0.28464766224225363,0.8765972222222222
1,14,0.3379819738864899,0.8612500095367431,0.27906400627560085,0.8789583333333333
1,15,0.3491706717014313,0.8612500047683715,0.2719513275888231,0.8822222222222222
1,16,0.3199223053455353,0.8662499952316284,0.2635501562224494,0.8856944444444445
1,17,0.3687624740600586,0.8449999928474426,0.27029678212271796,0.8842361111111111
1,18,0.36375773549079893,0.8500000047683716,0.2723438325193193,0.8808333333333334
1,19,0.3358610963821411,0.8587500095367432,0.2685623013310962,0.8840972222222222
1,20,0.35237778067588804,0.8499999928474427,0.2603295613659753,0.8865972222222223
1,21,0.3407807981967926,0.8481250023841858,0.2586838338110182,0.890625
1,22,0.35010435819625857,0.8537500071525573,0.2548368326822917,0.8886111111111111
1,23,0.3393324863910675,0.8599999928474427,0.24514745752016703,0.8970833333333333
1,24,0.39069594860076906,0.8406250071525574,0.2439394924375746,0.8979861111111112
1,25,0.3641113245487213,0.8550000071525574,0.2401593620247311,0.8986111111111111
1,26,0.36817851424217224,0.8500000095367432,0.24284371468755933,0.8966666666666666
1,27,0.3725558233261108,0.8581250047683716,0.2337660053041246,0.90125
1,28,0.5844998526573181,0.8168750023841858,0.23221829228931004,0.9007638888888889
1,29,0.43446376085281374,0.8274999904632568,0.23044308397505017,0.9004861111111111
2,0,0.3517531955242157,0.8499999904632568,0.3584934326012929,0.8461805555555556
2,1,0.3762923276424408,0.8412500071525574,0.3436787549654643,0.8526388888888888
2,2,0.3867870998382568,0.8524999928474426,0.3337174478504393,0.8575
2,3,0.35746734142303466,0.8562499928474426,0.32238296906153363,0.8618055555555556
2,4,0.3655648469924927,0.8493749928474427,0.31948947734302946,0.8636111111111111
2,5,0.35944117069244386,0.8475000071525574,0.30959555864334104,0.8645833333333334
2,6,0.3513332223892212,0.8481249928474426,0.3032319344414605,0.8671527777777778
2,7,0.39116260409355164,0.8462499976158142,0.2981548511981964,0.8697916666666666
2,8,0.4129533088207245,0.8406250047683715,0.2942742326524523,0.8713194444444444
2,9,0.36492999792099,0.8481250095367432,0.28201772888501486,0.8765972222222222
2,10,0.4104886710643768,0.8475000071525574,0.2802271021736993,0.8777777777777778
2,11,0.34567380785942076,0.8643749904632568,0.2781382393836975,0.87875
2,12,0.3625559651851654,0.8556250023841858,0.2735680531130897,0.8805555555555555
2,13,0.38339125156402587,0.8381249928474426,0.2717567201455434,0.8822222222222222
2,14,0.3730143928527832,0.8543749904632568,0.2690828119383918,0.8847916666666666
2,15,0.36197720050811766,0.8481249952316284,0.2669863299528758,0.8863194444444444
2,16,0.35988672733306887,0.8568750095367431,0.2612677499983046,0.8886111111111111
2,17,0.5258807849884033,0.8274999904632568,0.2590194707446628,0.8893055555555556
2,18,0.41207144618034364,0.8443749976158142,0.2524359112315708,0.8925
2,19,0.36915337085723876,0.8518749928474426,0.25271729045444064,0.8926388888888889
2,20,0.3617159175872803,0.8474999976158142,0.2521761575010088,0.8934027777777778
2,21,0.35792258858680726,0.8568749976158142,0.24690050972832575,0.8927083333333333
2,22,0.4069663095474243,0.8393750071525574,0.2453364199399948,0.8938194444444445
2,23,0.3672925841808319,0.8556249928474426,0.24672512623998855,0.89375
2,24,0.3949316728115082,0.8462499952316285,0.2374132047759162,0.8982638888888889
2,25,0.35054203152656555,0.8568750095367431,0.23621718241108788,0.9002083333333334
2,26,0.3880945408344269,0.8612499952316284,0.2351069211959839,0.9002777777777777
2,27,0.3892645764350891,0.8549999976158142,0.2297739781273736,0.9
2,28,0.44829214334487916,0.835625,0.22581772572464412,0.9047916666666667
2,29,0.3903295350074768,0.8531250071525573,0.2198845770623949,0.9081944444444444
3,0,0.32978799104690554,0.8668749928474426,0.36780244747797647,0.8451388888888889
3,1,0.3434735953807831,0.8643749976158142,0.3409114314450158,0.8554861111111111
3,2,0.3495536148548126,0.8625000047683716,0.3343595139185588,0.8588888888888889
3,3,0.3337827003002167,0.8637499904632568,0.3242975237634447,0.8582638888888889
3,4,0.4110750150680542,0.8568749976158142,0.31098184532589385,0.8647222222222222
3,5,0.3657993733882904,0.8618749904632569,0.3068477604124281,0.8677083333333333
3,6,0.3416484475135803,0.8649999976158143,0.31380404896206326,0.8621527777777778
3,7,0.38664945840835574,0.8362499952316285,0.30322289731767443,0.8693055555555556
3,8,0.34497727870941164,0.8668749976158142,0.29385377830929227,0.8723611111111111
3,9,0.34819950819015505,0.8518750071525574,0.2914608144760132,0.8722916666666667
3,10,0.3464307999610901,0.8593750071525573,0.2834703720940484,0.8780555555555556
3,11,0.35619413256645205,0.8587499952316284,0.28586471650335527,0.8773611111111111
3,12,0.407053074836731,0.8331249976158142,0.2745130554835002,0.8834027777777778
3,13,0.3413671362400055,0.8587500047683716,0.27543849176830715,0.8821527777777778
3,14,0.3507028591632843,0.8593750071525573,0.2698372483253479,0.8828472222222222
3,15,0.3564935576915741,0.8643750047683716,0.27094046698676216,0.8820833333333333
